text,label
"Win $1000 now!",1
"Meeting at 3 PM",0
"Cheap meds available!",1
"Let's grab lunch tomorrow",0
"50% off sale on all items!",1
"Project deadline extended",0
"Exclusive offer just for you!",1
"Remember our call at 2 PM?",0
"Congratulations, you won a free gift card!",1
"Hey, can you review the project?",0
"URGENT: Your account will be suspended!",1
"Let's schedule our next meeting.",0
"Your loan is approved, claim now!",1
"Hello, do you have time for a quick call?",0
"Lowest price alert! Buy now!",1
"Meeting rescheduled to next Monday.",0
"Your Netflix account will be suspended!",1
"Coffee break later?",0
"Get 75% off today only!",1
"Hey, are you coming to the event?",0
"Make $500 daily from home—guaranteed!",1
"Double your money overnight!",1
"Easy money, sign up now!",1
"Government grants available, apply now!",1
"Important: Your PayPal account is restricted!",1
"Let's meet for coffee tomorrow.",0
"Can we reschedule our meeting?",0
"Hey, let's catch up soon!",0
"See you at the conference!",0
"Looking forward to your response.",0
"I’ll send you the files later today.",0
"Thanks for your help!",0
"Can you confirm the schedule?",0
"Great job on the project!",0
"Hope you're doing well!",0
"Earn $10,000 fast with this system!",1
"Congratulations! You've been selected!",1
"Urgent: Limited-time cash bonus!",1
"Increase your credit score instantly!",1
"Final notice: Your debt is forgiven!",1
"This is not spam! Claim your reward!",1
"Important business meeting tomorrow.",0
"Hey, can we discuss the presentation?",0
"Your free trial is about to expire.",1
"Let's meet at the office this week.",0
